State,APMC,Commodity,Min Price (Rs.),Modal Price (Rs.),Max Price (Rs.),Arrivals,Traded Quantity,Unit,Date,APMC_Selected,Commodity_Selected
GUJARAT,HIMMATNAGAR,WHEAT,"2,600","2,755","3,210",923,921,Qui,18-04-2025,HIMMATNAGAR,
GUJARAT,HIMMATNAGAR,MAIZE BILT,"2,045","2,240","2,250",385,383,Qui,17-04-2025,HIMMATNAGAR,
GUJARAT,HIMMATNAGAR,MAIZE BILT,"1,985","2,050","2,265",350,351,Qui,18-04-2025,HIMMATNAGAR,
GUJARAT,HIMMATNAGAR,CHANA BENGAL GRAM-DOLLAR,"7,755","10,005","10,005",165,166,Qui,18-04-2025,HIMMATNAGAR,
GUJARAT,HIMMATNAGAR,CHANA (BENGAL GRAM)-DESI,"5,450","5,450","5,630",55,56,Qui,18-04-2025,HIMMATNAGAR,
GUJARAT,IDAR APMC,CHANA (BENGAL GRAM),"8,250","9,940","11,000",233,233,Qui,17-04-2025,IDAR APMC,
No record Found.,JAM JODHPUR,
No record Found.,JAMKANDORNA,
No record Found.,JAMKHAMBHALIYA,
No record Found.,JAMNAGAR,
No record Found.,JASDAN,
GUJARAT,JETPUR,WHEAT,"2,380","2,480","2,580",240,240,Qui,17-04-2025,JETPUR,
No record Found.,JHAGADIYA APMC,
No record Found.,JHALOD,
No record Found.,JUNAGADH,
No record Found.,KADI APMC,
No record Found.,KALAVAD,
No record Found.,KALOL,
GUJARAT,KAPADWANJ,WHEAT,"2,400","2,400","2,400",1,1,Qui,18-04-2025,KAPADWANJ,
No record Found.,KARJAN,
No record Found.,KATHLAL APMC,
No record Found.,KESHOD,
GUJARAT,KHAMBHAT,WHEAT,"2,385","2,555","2,920",289,289,Qui,17-04-2025,KHAMBHAT,
No record Found.,KODINAR,
No record Found.,KOSAMBA APMC,
No record Found.,LALPUR,
No record Found.,LIMKHEDA APMC,
No record Found.,LUNAWADA APMC,
No record Found.,MAHEMDAVAD,
GUJARAT,MAHUVA,ONION RED,"2,314","2,390","2,400","5,450","5,450",Qui,17-04-2025,MAHUVA,
GUJARAT,MAHUVA,GROUND NUT,"5,355","5,382","5,398",413,413,Qui,17-04-2025,MAHUVA,
GUJARAT,MAHUVA,ONION WHITE,"2,340","2,340","2,340",35,35,Qui,17-04-2025,MAHUVA,
No record Found.,MAHUVA APMC GJ,
No record Found.,MANADAL APMC,
No record Found.,MANDVI APMC,
No record Found.,MATAR APMC,
GUJARAT,MEHSANA,CASTOR SEED,"6,000","6,095","6,150","1,859","1,859",Qui,17-04-2025,MEHSANA,
GUJARAT,MEHSANA,CASTOR SEED,"6,000","6,125","6,185","1,722","1,722",Qui,18-04-2025,MEHSANA,
GUJARAT,MODASA,WHEAT,"2,940","2,960","2,960",496,496,Qui,17-04-2025,MODASA,
GUJARAT,MORBI,WHEAT,"2,330","2,850","2,850",73,145,Qui,18-04-2025,MORBI,
GUJARAT,MORBI,CUMMIN,"23,000","23,300","23,500",14,29,Qui,18-04-2025,MORBI,
GUJARAT,MORBI,CHANA,"5,100","5,250","5,350",24,24,Qui,18-04-2025,MORBI,
GUJARAT,MORBI,COTTON,"7,200","7,200","7,200",6,6,Qui,18-04-2025,MORBI,
GUJARAT,MORBI,CHANA-LOCAL,"5,300","5,300","5,300",0,4,Qui,18-04-2025,MORBI,
GUJARAT,MORBI,TUR/ARHAR,"6,250","6,250","6,250",2,2,Qui,18-04-2025,MORBI,
GUJARAT,MORBI,CASTOR SEED,"5,900","5,900","5,900",0,2,Qui,18-04-2025,MORBI,
GUJARAT,NADIAD,SOUNF,"8,000","9,600","10,000",4,4,Qui,17-04-2025,NADIAD,
GUJARAT,NAVSARI APMC,POTATO,"1,700","1,700","1,700",239,239,Qui,17-04-2025,NAVSARI APMC,
GUJARAT,NAVSARI APMC,ONION RED,"1,400","1,400","1,400",167,167,Qui,18-04-2025,NAVSARI APMC,
GUJARAT,NAVSARI APMC,TOMATO,900,900,900,118,118,Qui,18-04-2025,NAVSARI APMC,
GUJARAT,NAVSARI APMC,BANANA,"1,800","1,800","1,800",69,69,Qui,18-04-2025,NAVSARI APMC,
